mu,mu_0,mu_1,mu_2,sigma,sigma_0,sigma_1,sigma_2
[-1.18912970e+55  4.27770388e+53  9.61619008e+54],[ 1.73476575e+52 -4.43392614e+52],[ 6.34154128e+52 -3.06593298e+52],[1.85299803e+53 3.85803459e+52],"[ 4.37242135e-01 -8.79089358e-01 -6.97694521e-06 -8.79089358e-01
  2.35384019e+00  1.81451482e-05 -6.97694521e-06  1.81451482e-05
  1.31881285e-02]",[ 0.40958859 -0.83505073 -0.83505073  2.20094366],[ 0.41039044 -0.83520069 -0.83520069  2.20035435],[ 0.41077782 -0.83511408 -0.83511408  2.20136332]
[-1.71497679e+55  6.45204402e+54  1.48172734e+55],[ 2.57374524e+52 -6.58654071e+52],[ 1.06310737e+53 -5.43733154e+52],[ 3.16763687e+53 -8.54186580e+51],"[ 4.23455652e-01 -8.32628594e-01  2.69711199e-06 -8.32628594e-01
  2.36632116e+00  3.13071779e-05  2.69711199e-06  3.13071779e-05
  1.31881305e-02]",[ 0.40958824 -0.83504983 -0.83504983  2.20094136],[ 0.41038626 -0.83519835 -0.83519835  2.20035304],[ 0.41076588 -0.83511161 -0.83511161  2.20136172]
[-2.19407744e+55  1.77601379e+55  2.28445435e+55],[ 3.41939817e+52 -8.76376537e+52],[ 1.60583467e+53 -8.63393925e+52],[ 4.87203987e+53 -1.15075887e+53],"[ 4.40097393e-01 -7.87678913e-01  7.11983625e-06 -7.87678913e-01
  2.34895171e+00  2.28185666e-05  7.11983625e-06  2.28185666e-05
  1.31881289e-02]",[ 0.40958808 -0.83504943 -0.83504943  2.20094034],[ 0.41038342 -0.83519663 -0.83519663  2.200352  ],[ 0.41075654 -0.8351073  -0.8351073   2.20135934]
[-2.38039277e+55  3.62543511e+55  3.51696675e+55],[ 3.90223215e+52 -1.00246196e+53],[ 2.17843958e+53 -1.23674160e+53],[ 6.76246680e+53 -3.13406388e+53],"[ 4.80036343e-01 -7.61431856e-01 -1.20950080e-05 -7.61431856e-01
  2.30992816e+00 -1.51919452e-05 -1.20950080e-05 -1.51919452e-05
  1.31881305e-02]",[ 0.40958805 -0.83504935 -0.83504935  2.20094014],[ 0.41038206 -0.8351957  -0.8351957   2.20035135],[ 0.41075084 -0.83510252 -0.83510252  2.20135491]
[-1.75402369e+55  6.44347066e+55  5.39781371e+55],[ 3.32719842e+52 -8.59610307e+52],[ 2.58140036e+53 -1.57779828e+53],[ 8.27113013e+53 -6.40466579e+53],"[ 5.27726085e-01 -7.62956601e-01  1.46643086e-05 -7.62956601e-01
  2.26395473e+00  1.04673234e-05  1.46643086e-05  1.04673234e-05
  1.31881302e-02]",[ 0.40958802 -0.83504928 -0.83504928  2.20093997],[ 0.41038176 -0.83519542 -0.83519542  2.20035109],[ 0.41074844 -0.83509875 -0.83509875  2.201348  ]
[4.95896861e+54 1.02804870e+56 8.29861840e+55],[ 5.75318677e+51 -1.61903393e+52],[ 2.40324911e+53 -1.69242927e+53],[ 8.21651665e+53 -1.12934067e+54],"[ 5.65119880e-01 -7.92582830e-01 -1.05602063e-05 -7.92582830e-01
  2.22681371e+00  2.41398722e-06 -1.05602063e-05  2.41398722e-06
  1.31881224e-02]",[ 0.40958789 -0.83504893 -0.83504893  2.20093909],[ 0.41038175 -0.83519544 -0.83519544  2.20035106],[ 0.41074782 -0.83509704 -0.83509704  2.2013391 ]
[5.69401155e+55 1.48176822e+56 1.27659255e+56],[-6.15059475e+52  1.55035781e+53],[ 9.27676720e+52 -1.22017241e+53],[ 4.49060756e+53 -1.78350244e+54],"[ 5.77320968e-01 -8.38815325e-01  1.58878784e-05 -8.38815325e-01
  2.21413894e+00  7.67293804e-07  1.58878784e-05  7.67293804e-07
  1.31881289e-02]",[ 0.40958757 -0.83504812 -0.83504812  2.20093702],[ 0.41038112 -0.83519528 -0.83519528  2.20035102],[ 0.41074681 -0.83509766 -0.83509766  2.20132949]
[1.54134230e+56 1.89517509e+56 1.96590600e+56],[-1.92877998e+53  4.90151393e+53],[-2.97769235e+53  4.38845005e+52],[-6.25443017e+53 -2.53967648e+54],"[ 5.59122624e-01 -8.83611134e-01  2.29439643e-06 -8.83611134e-01
  2.23138115e+00 -5.23269275e-06  2.29439643e-06 -5.23269275e-06
  1.31881251e-02]",[ 0.40958706 -0.83504683 -0.83504683  2.20093375],[ 0.4103792  -0.83519453 -0.83519453  2.20035072],[ 0.41074343 -0.83509998 -0.83509998  2.20132072]
[3.13804833e+56 2.05164318e+56 3.02714895e+56],[-4.19267992e+53  1.06845271e+54],[-1.08879922e+54  4.16291206e+53],[-2.87198849e+54 -3.21944406e+54],"[ 5.19045121e-01 -9.09342344e-01 -1.98357152e-05 -9.09342344e-01
  2.27165102e+00  2.08249791e-05 -1.98357152e-05  2.08249791e-05
  1.31881279e-02]",[ 0.40958644 -0.83504525 -0.83504525  2.20092972],[ 0.41037587 -0.83519302 -0.83519302  2.20035004],[ 0.4107367  -0.83510272 -0.83510272  2.201314  ]
[5.54473948e+56 1.51222888e+56 4.64867650e+56],[-7.68473525e+53  1.96157868e+54],[-2.46937347e+54  1.10777196e+54],[-6.87175791e+54 -3.42284722e+54],"[ 4.72467028e-01 -9.06995607e-01 -5.09760362e-06 -9.06995607e-01
  2.31932145e+00 -2.09878749e-07 -5.09760362e-06 -2.09878749e-07
  1.31881235e-02]",[ 0.40958582 -0.83504367 -0.83504367  2.2009257 ],[ 0.41037153 -0.83519089 -0.83519089  2.20034899],[ 0.41072699 -0.83510448 -0.83510448  2.20130976]
[ 8.82563719e+56 -5.01545473e+55  7.14258451e+56],[-1.25526231e+54  3.20820966e+54],[-4.64006359e+54  2.25145621e+54],[-1.32549460e+55 -2.39780703e+54],"[ 4.35529624e-01 -8.76618451e-01  5.68107920e-06 -8.76618451e-01
  2.35598721e+00 -2.87380410e-05  5.68107920e-06 -2.87380410e-05
  1.31881300e-02]",[ 0.40958531 -0.83504238 -0.83504238  2.2009224 ],[ 0.41036697 -0.83518849 -0.83518849  2.20034772],[ 0.41071579 -0.83510427 -0.83510427  2.2013075 ]
[ 1.26462883e+57 -4.98208380e+56  1.10031183e+57],[-1.85202074e+54  4.73920301e+54],[-7.72348555e+54  3.96268024e+54],[-2.24873641e+55  1.05858488e+54],"[ 4.23590784e-01 -8.29669110e-01 -2.55714838e-06 -8.29669110e-01
  2.36675007e+00  4.31531569e-06 -2.55714838e-06  4.31531569e-06
  1.31881276e-02]",[ 0.40958499 -0.83504155 -0.83504155  2.2009203 ],[ 0.41036305 -0.83518629 -0.83518629  2.20034649],[ 0.41070512 -0.83510187 -0.83510187  2.20130601]
[ 1.61450498e+57 -1.32373598e+57  1.69356528e+57],[-2.44362418e+54  6.26242310e+54],[-1.16084984e+55  6.26058614e+54],[-3.44402158e+55  8.64782126e+54],"[ 4.41603097e-01 -7.85501872e-01  1.04949915e-05 -7.85501872e-01
  2.34914175e+00  2.47992052e-05  1.04949915e-05  2.47992052e-05
  1.31881305e-02]",[ 0.40958485 -0.8350412  -0.8350412   2.2009194 ],[ 0.41036042 -0.83518468 -0.83518468  2.20034551],[ 0.41069684 -0.83509794 -0.83509794  2.2013038 ]
[ 1.73884624e+57 -2.69555713e+57  2.60000380e+57],[-2.76801142e+54  7.11057045e+54],[-1.57083529e+55  8.94489228e+54],[-4.76146838e+55  2.26037572e+55],"[ 4.81924666e-01 -7.60043878e-01  1.04048885e-05 -7.60043878e-01
  2.31027427e+00  1.62479003e-05  1.04048885e-05  1.62479003e-05
  1.31881278e-02]",[ 0.40958482 -0.83504113 -0.83504113  2.20091922],[ 0.41035916 -0.83518381 -0.83518381  2.2003449 ],[ 0.41069181 -0.83509366 -0.83509366  2.20129978]
[ 1.25696983e+57 -4.78186789e+57  3.99250998e+57],[-2.33944365e+54  6.04446104e+54],[-1.85543694e+55  1.13867710e+55],[-5.79477888e+55  4.55240934e+55],"[ 5.29544628e-01 -7.62822137e-01  9.41938317e-06 -7.62822137e-01
  2.26324865e+00  8.68885028e-07  9.41938317e-06  8.68885028e-07
  1.31881246e-02]",[ 0.40958479 -0.83504106 -0.83504106  2.20091905],[ 0.41035889 -0.83518355 -0.83518355  2.20034466],[ 0.41068972 -0.83509032 -0.83509032  2.20129353]
[-4.26079779e+56 -7.60484512e+57  6.14039272e+57],[-3.33546608e+53  9.57962968e+53],[-1.71489413e+55  1.21695686e+55],[-5.70543742e+55  7.95855649e+55],"[ 5.66226094e-01 -7.93467076e-01  2.73288598e-05 -7.93467076e-01
  2.22617290e+00  6.56564237e-06  2.73288598e-05  6.56564237e-06
  1.31881304e-02]",[ 0.40958466 -0.83504072 -0.83504072  2.20091819],[ 0.41035886 -0.83518357 -0.83518357  2.20034464],[ 0.41068917 -0.83508882 -0.83508882  2.20128548]
[-4.28500667e+57 -1.09262630e+58  9.44008457e+57],[ 4.55071741e+54 -1.14762456e+55],[-6.34671695e+54  8.70073803e+54],[-3.01514829e+55  1.24842948e+56],"[ 5.77633754e-01 -8.39956165e-01 -7.16024957e-06 -8.39956165e-01
  2.21418694e+00  5.51908393e-06 -7.16024957e-06  5.51908393e-06
  1.31881222e-02]",[ 0.40958435 -0.83503993 -0.83503993  2.20091619],[ 0.41035824 -0.83518341 -0.83518341  2.20034459],[ 0.41068821 -0.83508938 -0.83508938  2.2012768 ]
[-1.15070429e+58 -1.39285136e+58  1.45336365e+58],[ 1.40731071e+55 -3.57650915e+55],[ 2.20133561e+55 -3.34557567e+54],[4.63231931e+55 1.76668088e+56],"[ 5.58651960e-01 -8.84508311e-01 -2.33170025e-08 -8.84508311e-01
  2.23208066e+00  4.46955269e-06 -2.33170025e-08  4.46955269e-06
  1.31881243e-02]",[ 0.40958386 -0.8350387  -0.8350387   2.20091305],[ 0.41035639 -0.83518269 -0.83518269  2.2003443 ],[ 0.41068506 -0.8350914  -0.8350914   2.20126887]
[-2.35307055e+58 -1.47889618e+58  2.23771626e+58],[ 3.03943373e+55 -7.74526077e+55],[ 7.92573520e+55 -3.03089938e+55],[2.05520727e+56 2.21080345e+56],"[ 5.17168341e-01 -9.09336392e-01 -1.42590314e-05 -9.09336392e-01
  2.27279480e+00  1.85914765e-05 -1.42590314e-05  1.85914765e-05
  1.31881234e-02]",[ 0.40958327 -0.83503719 -0.83503719  2.20090921],[ 0.41035319 -0.83518123 -0.83518123  2.20034364],[ 0.41067884 -0.83509373 -0.83509373  2.20126281]
[-4.15401456e+58 -1.01434442e+58  3.44769061e+58],[ 5.55454343e+55 -1.41770726e+56],[ 1.79379971e+56 -8.05839900e+55],[4.89313086e+56 2.28418760e+56],"[ 4.68997206e-01 -9.04679746e-01 -1.60746329e-05 -9.04679746e-01
  2.32017739e+00  3.01379665e-05 -1.60746329e-05  3.01379665e-05
  1.31881299e-02]",[ 0.40958268 -0.83503569 -0.83503569  2.2009054 ],[ 0.41034902 -0.83517918 -0.83517918  2.20034262],[ 0.41066991 -0.8350951  -0.8350951   2.20125901]
[-6.55002252e+58  4.89314369e+57  5.31628809e+58],[ 9.03906657e+55 -2.30998237e+56],[ 3.36435403e+56 -1.63661051e+56],[9.42546206e+56 1.47255673e+56],"[ 4.33407631e-01 -8.72789872e-01 -3.04907656e-06 -8.72789872e-01
  2.35573349e+00 -9.47224395e-06 -3.04907656e-06 -9.47224395e-06
  1.31881221e-02]",[ 0.40958221 -0.83503448 -0.83503448  2.20090232],[ 0.41034469 -0.83517689 -0.83517689  2.20034142],[ 0.41065971 -0.83509468 -0.83509468  2.20125698]
[-9.34116359e+58  3.76204934e+58  8.17682861e+58],[ 1.32615285e+56 -3.39328468e+56],[ 5.58356487e+56 -2.87232419e+56],[ 1.59591917e+57 -1.03158787e+56],"[ 4.23800276e-01 -8.26985456e-01 -6.61488034e-06 -8.26985456e-01
  2.36705604e+00 -3.07654008e-05 -6.61488034e-06 -3.07654008e-05
  1.31881266e-02]",[ 0.40958191 -0.83503373 -0.83503373  2.20090041],[ 0.41034102 -0.83517482 -0.83517482  2.20034025],[ 0.41065012 -0.83509238 -0.83509238  2.2012556 ]
[-1.18343733e+59  9.99924659e+58  1.25466263e+59],[ 1.74099686e+56 -4.46153630e+56],[ 8.36944978e+56 -4.52492169e+56],[ 2.43214231e+57 -6.43982632e+56],"[ 4.42812878e-01 -7.83770130e-01  4.36280132e-06 -7.83770130e-01
  2.34948992e+00  1.35443670e-05  4.36280132e-06  1.35443670e-05
  1.31881298e-02]",[ 0.40958179 -0.83503342 -0.83503342  2.20089961],[ 0.41033855 -0.83517331 -0.83517331  2.20033932],[ 0.41064276 -0.83508878 -0.83508878  2.20125354]
[-1.23671840e+59  2.04855128e+59  1.92967834e+59],[ 1.96527811e+56 -5.04816696e+56],[ 1.12580491e+57 -6.43435853e+56],[ 3.32734558e+57 -1.63682857e+57],"[ 4.84046627e-01 -7.59933168e-01  2.31497885e-05 -7.59933168e-01
  2.30715216e+00  2.27608864e-05  2.31497885e-05  2.27608864e-05
  1.31881293e-02]",[ 0.40958177 -0.83503336 -0.83503336  2.20089945],[ 0.41033741 -0.83517251 -0.83517251  2.20033877],[ 0.41063843 -0.83508496 -0.83508496  2.20124978]
[-7.98988601e+58  3.61333746e+59  2.97686187e+59],[ 1.62739773e+56 -4.20501732e+56],[ 1.30638159e+57 -8.08474362e+56],[ 3.96376372e+57 -3.25665306e+57],"[ 5.31202434e-01 -7.66367083e-01  3.20874970e-05 -7.66367083e-01
  2.25785266e+00  1.60782013e-05  3.20874970e-05  1.60782013e-05
  1.31881296e-02]",[ 0.40958174 -0.83503328 -0.83503328  2.20089926],[ 0.41033721 -0.83517231 -0.83517231  2.20033856],[ 0.41063676 -0.83508211 -0.83508211  2.20124394]
[5.73574685e+58 5.68464869e+59 4.59661967e+59],[ 8.39087791e+54 -2.88388893e+55],[ 1.14854051e+57 -8.37418095e+56],[ 3.72121147e+57 -5.63567477e+57],"[ 5.65287694e-01 -7.99922735e-01  1.87792940e-05 -7.99922735e-01
  2.22275416e+00  6.57273095e-06  1.87792940e-05  6.57273095e-06
  1.31881274e-02]",[ 0.40958159 -0.83503292 -0.83503292  2.20089834],[ 0.41033716 -0.83517233 -0.83517233  2.20033855],[ 0.41063631 -0.835081   -0.835081    2.2012365 ]
[3.53048991e+59 8.04913809e+59 7.07967440e+59],[-3.61229928e+56  9.12408462e+56],[ 2.72948012e+56 -5.37208142e+56],[ 1.54404732e+57 -8.74604884e+57],"[ 5.73877952e-01 -8.46571542e-01  1.56195365e-05 -8.46571542e-01
  2.21489864e+00 -6.38740330e-06  1.56195365e-05 -6.38740330e-06
  1.31881241e-02]",[ 0.40958127 -0.83503211 -0.83503211  2.20089627],[ 0.41033643 -0.83517212 -0.83517212  2.20033849],[ 0.41063522 -0.83508169 -0.83508169  2.20122859]
[8.88214884e+59 1.01472003e+60 1.08863143e+60],[-1.07337801e+57  2.72912600e+57],[-1.89595598e+57  3.99124991e+56],[-4.18990501e+57 -1.22557768e+58],"[ 5.54449037e-01 -8.88892643e-01 -2.34736582e-05 -8.88892643e-01
  2.23609008e+00  1.32847111e-05 -2.34736582e-05  1.32847111e-05
  1.31881292e-02]",[ 0.40958079 -0.83503088 -0.83503088  2.20089315],[ 0.41033451 -0.83517135 -0.83517135  2.20033817],[ 0.41063203 -0.83508354 -0.83508354  2.20122147]
[1.76684379e+60 1.07171612e+60 1.67053990e+60],[-2.27444878e+57  5.79700375e+57],[-6.14383273e+57  2.41233119e+57],[-1.57520363e+58 -1.51998231e+58],"[ 5.14640471e-01 -9.11542234e-01 -2.44212058e-05 -9.11542234e-01
  2.27802390e+00  2.41959919e-05 -2.44212058e-05  2.41959919e-05
  1.31881302e-02]",[ 0.40958022 -0.83502942 -0.83502942  2.20088945],[ 0.41033135 -0.8351699  -0.8351699   2.20033751],[ 0.41062613 -0.83508554 -0.83508554  2.20121604]
[3.09346555e+60 7.17921841e+59 2.56418376e+60],[-4.10417638e+57  1.04759956e+58],[-1.34593698e+58  6.09501555e+57],[-3.60409060e+58 -1.54706572e+58],"[ 4.67979548e-01 -9.05555912e-01 -6.87439334e-07 -9.05555912e-01
  2.32527096e+00  9.28415033e-06 -6.87439334e-07  9.28415033e-06
  1.31881252e-02]",[ 0.40957966 -0.83502801 -0.83502801  2.20088585],[ 0.41032736 -0.83516793 -0.83516793  2.20033653],[ 0.41061791 -0.83508662 -0.83508662  2.2012126 ]
[ 4.86986704e+60 -4.85624665e+59  3.94604467e+60],[-6.61757633e+57  1.69114814e+58],[-2.48432057e+58  1.21292604e+58],[-6.80370363e+58 -9.14501786e+57],"[ 4.32547014e-01 -8.71549253e-01  1.93672964e-06 -8.71549253e-01
  2.35884116e+00 -2.71069653e-05  1.93672964e-06 -2.71069653e-05
  1.31881267e-02]",[ 0.40957922 -0.83502688 -0.83502688  2.20088297],[ 0.41032325 -0.83516575 -0.83516575  2.20033538],[ 0.41060864 -0.83508605 -0.83508605  2.20121074]
[ 6.87561465e+60 -3.10195131e+60  6.09054053e+60],[-9.64766810e+57  2.46840335e+58],[-4.08016930e+58  2.10622349e+58],[-1.13633065e+59  9.86417851e+57],"[ 4.24311442e-01 -8.23228473e-01 -6.59868569e-06 -8.23228473e-01
  2.36465679e+00 -1.62996144e-05 -6.59868569e-06 -1.62996144e-05
  1.31881238e-02]",[ 0.40957895 -0.83502618 -0.83502618  2.2008812 ],[ 0.41031983 -0.83516381 -0.83516381  2.20033427],[ 0.41060009 -0.83508376 -0.83508376  2.2012094 ]
[ 8.54632122e+60 -7.87086896e+60  9.39319207e+60],[-1.25222734e+58  3.20865274e+58],[-6.04243948e+58  3.28386710e+58],[-1.71111345e+59  5.00261720e+58],"[ 4.46440193e-01 -7.80789397e-01 -1.45145782e-05 -7.80789397e-01
  2.34183997e+00 -1.95563304e-05 -1.45145782e-05 -1.95563304e-05
  1.31881236e-02]",[ 0.40957884 -0.83502591 -0.83502591  2.2008805 ],[ 0.41031764 -0.83516245 -0.83516245  2.20033343],[ 0.41059372 -0.83508039 -0.83508039  2.20120735]
[ 8.80155987e+60 -1.55678184e+61  1.44718304e+61],[-1.37560500e+58  3.53355996e+58],[-8.00946092e+58  4.61444082e+58],[-2.31906574e+59  1.22084145e+59],"[ 4.89335310e-01 -7.59823612e-01  1.13528401e-05 -7.59823612e-01
  2.29988042e+00  4.88169883e-06  1.13528401e-05  4.88169883e-06
  1.31881226e-02]",[ 0.40957882 -0.83502587 -0.83502587  2.20088039],[ 0.4103167  -0.83516178 -0.83516178  2.20033295],[ 0.4105901  -0.83507696 -0.83507696  2.20120371]
[ 5.39353172e+60 -2.70269512e+61  2.22354596e+61],[-1.06291109e+58  2.74922649e+58],[-9.14845911e+58  5.73117154e+58],[-2.73466582e+59  2.37365633e+59],"[ 5.36332771e-01 -7.67636811e-01 -2.41420322e-05 -7.67636811e-01
  2.25427784e+00 -1.15192982e-05 -2.41420322e-05 -1.15192982e-05
  1.31881300e-02]",[ 0.40957879 -0.83502578 -0.83502578  2.20088016],[ 0.41031655 -0.83516162 -0.83516162  2.20033278],[ 0.41058875 -0.83507448 -0.83507448  2.20119825]
[-4.82871013e+60 -4.21603788e+61  3.42122779e+61],[ 1.23301717e+57 -2.61961251e+57],[-7.81454996e+58  5.84777924e+58],[-2.51898557e+59  4.04692893e+59],"[ 5.69498219e-01 -8.01921633e-01  2.55168946e-05 -8.01921633e-01
  2.22153445e+00  2.50670197e-06  2.55168946e-05  2.50670197e-06
  1.31881296e-02]",[ 0.40957864 -0.8350254  -0.8350254   2.2008792 ],[ 0.41031649 -0.83516164 -0.83516164  2.20033277],[ 0.41058835 -0.83507355 -0.83507355  2.20119143]
[-2.71259464e+61 -5.94666292e+61  5.26109033e+61],[ 2.87334439e+58 -7.26524734e+58],[-1.27064191e+58  3.57361846e+58],[-9.20066125e+58  6.21387120e+59],"[ 5.76350785e-01 -8.48866694e-01  8.44629019e-06 -8.48866694e-01
  2.21524378e+00 -5.42522982e-06  8.44629019e-06 -5.42522982e-06
  1.31881246e-02]",[ 0.40957832 -0.8350246  -0.8350246   2.20087717],[ 0.41031575 -0.83516142 -0.83516142  2.2003327 ],[ 0.41058728 -0.83507419 -0.83507419  2.20118423]
[-6.77272269e+61 -7.42703637e+61  8.09666885e+61],[ 8.08017785e+58 -2.05475658e+59],[ 1.47318025e+59 -3.36062141e+58],[3.24418109e+59 8.60159931e+59],"[ 5.53780841e-01 -8.90878966e-01  2.66919939e-05 -8.90878966e-01
  2.23786803e+00 -1.67996719e-05  2.66919939e-05 -1.67996719e-05
  1.31881267e-02]",[ 0.40957786 -0.83502342 -0.83502342  2.20087416],[ 0.41031386 -0.83516066 -0.83516066  2.20033239],[ 0.41058422 -0.83507583 -0.83507583  2.20117776]
[-1.35093384e+62 -7.54886650e+61  1.24519916e+62],[ 1.68194639e+59 -4.28689527e+59],[ 4.59963314e+59 -1.82334578e+59],[1.16121811e+60 1.04245219e+60],"[ 5.10376306e-01 -9.11337377e-01 -1.62137369e-05 -9.11337377e-01
  2.28081837e+00  1.86120218e-05 -1.62137369e-05  1.86120218e-05
  1.31881292e-02]",[ 0.40957731 -0.83502202 -0.83502202  2.20087062],[ 0.41031078 -0.83515924 -0.83515924  2.20033174],[ 0.41057861 -0.8350775  -0.8350775   2.2011729 ]
[-2.33367603e+62 -4.59250750e+61  1.91992864e+62],[ 3.00566856e+59 -7.67174928e+59],[ 9.97527357e+59 -4.54390159e+59],[2.62796385e+60 1.01556204e+60],"[ 4.62489262e-01 -9.01745517e-01  1.01097494e-05 -9.01745517e-01
  2.32757049e+00 -1.99624862e-05  1.01097494e-05 -1.99624862e-05
  1.31881307e-02]",[ 0.40957679 -0.83502069 -0.83502069  2.20086722],[ 0.41030692 -0.83515731 -0.83515731  2.20033077],[ 0.41057089 -0.83507826 -0.83507826  2.20116987]
[-3.62372917e+62  4.24641617e+61  2.95544902e+62],[ 4.80943957e+59 -1.22903363e+60],[ 1.82731449e+60 -8.96428148e+59],[4.92976509e+60 5.20035429e+59],"[ 4.30352719e-01 -8.67095963e-01  4.93597866e-06 -8.67095963e-01
  2.36033113e+00 -3.10354083e-05  4.93597866e-06 -3.10354083e-05
  1.31881307e-02]",[ 0.40957638 -0.83501965 -0.83501965  2.20086457],[ 0.41030302 -0.83515523 -0.83515523  2.20032967],[ 0.41056237 -0.83507755 -0.83507755  2.2011682 ]
[-5.09516300e+62  2.32087516e+62  4.54075555e+62],[ 6.95615717e+59 -1.77976821e+60],[ 2.98336605e+60 -1.54544885e+60],[ 8.19462352e+60 -8.54907477e+59],"[ 4.24737226e-01 -8.20447949e-01 -7.02066607e-06 -8.20447949e-01
  2.36735848e+00 -3.48157754e-05 -7.02066607e-06 -3.48157754e-05
  1.31881296e-02]",[ 0.40957613 -0.83501903 -0.83501903  2.20086299],[ 0.41029981 -0.8351534  -0.8351534   2.20032862],[ 0.41055459 -0.83507537 -0.83507537  2.20116696]
[-6.32660613e+62  5.86340626e+62  6.97484037e+62],[ 8.98717883e+59 -2.30289747e+60],[ 4.40749713e+60 -2.40109005e+60],[ 1.22946218e+61 -3.71403840e+60],"[ 4.47547653e-01 -7.78772420e-01 -3.86965041e-06 -7.78772420e-01
  2.34498287e+00 -9.32011317e-08 -3.86965041e-06 -9.32011317e-08
  1.31881265e-02]",[ 0.40957604 -0.83501878 -0.83501878  2.20086237],[ 0.41029773 -0.83515211 -0.83515211  2.20032782],[ 0.41054882 -0.83507228 -0.83507228  2.20116507]
[-6.35588140e+62  1.17139386e+63  1.07367919e+63],[ 9.87640152e+59 -2.53700545e+60],[ 5.82836902e+60 -3.36511480e+60],[ 1.65261250e+61 -8.83074926e+60],"[ 4.90803107e-01 -7.58864097e-01  1.99487243e-05 -7.58864097e-01
  2.30012804e+00  1.45476350e-05  1.99487243e-05  1.45476350e-05
  1.31881250e-02]",[ 0.40957602 -0.83501874 -0.83501874  2.20086226],[ 0.41029684 -0.83515148 -0.83515148  2.20032737],[ 0.41054559 -0.83506918 -0.83506918  2.20116172]
[-3.59180553e+62  2.02910850e+63  1.65778216e+63],[ 7.59615767e+59 -1.96474173e+60],[ 6.59111989e+60 -4.14903033e+60],[ 1.92209720e+61 -1.70173144e+61],"[ 5.37245410e-01 -7.69533007e-01  6.88085478e-06 -7.69533007e-01
  2.25173745e+00  7.64167862e-06  6.88085478e-06  7.64167862e-06
  1.31881254e-02]",[ 0.40957599 -0.83501865 -0.83501865  2.20086203],[ 0.41029673 -0.83515135 -0.83515135  2.20032722],[ 0.41054443 -0.83506699 -0.83506699  2.20115666]
[4.59258764e+62 3.14783183e+63 2.55749327e+63],[-1.25423009e+59  2.82560431e+59],[ 5.46359456e+60 -4.15749200e+60],[ 1.71145720e+61 -2.87642158e+61],"[ 5.68369145e-01 -8.05737850e-01  3.08119520e-05 -8.05737850e-01
  2.21994375e+00  3.12916814e-06  3.08119520e-05  3.12916814e-06
  1.31881298e-02]",[ 0.40957583 -0.83501827 -0.83501827  2.20086106],[ 0.41029664 -0.83515136 -0.83515136  2.20032721],[ 0.41054406 -0.83506626 -0.83506626  2.20115035]
[2.17429212e+63 4.39346879e+63 3.94372563e+63],[-2.16603554e+60  5.47990694e+60],[ 3.86911953e+59 -2.33750506e+60],[ 4.70255772e+60 -4.37530721e+61],"[ 5.72332241e-01 -8.53166677e-01  1.05356638e-05 -8.53166677e-01
  2.21619612e+00  2.14712254e-06  1.05356638e-05  2.14712254e-06
  1.31881250e-02]",[ 0.40957552 -0.83501747 -0.83501747  2.20085904],[ 0.41029584 -0.83515112 -0.83515112  2.20032713],[ 0.41054293 -0.83506693 -0.83506693  2.20114376]
[5.26530844e+63 5.39788505e+63 6.07285449e+63],[-6.01905912e+60  1.53094560e+61],[-1.17028163e+61  2.96002919e+60],[-2.63914812e+61 -5.97990027e+61],"[ 5.48209568e-01 -8.93454525e-01  6.97961315e-06 -8.93454525e-01
  2.24128359e+00  7.13278931e-07  6.97961315e-06  7.13278931e-07
  1.31881250e-02]",[ 0.40957507 -0.83501631 -0.83501631  2.20085608],[ 0.41029391 -0.83515032 -0.83515032  2.2003268 ],[ 0.41053986 -0.83506841 -0.83506841  2.20113792]
[1.02233049e+64 5.41716019e+63 9.34005056e+63],[-1.24203172e+61  3.16597765e+61],[-3.49633360e+61  1.40983215e+61],[-8.77459070e+61 -7.13980578e+61],"[ 5.05179033e-01 -9.11537908e-01 -1.29745271e-05 -9.11537908e-01
  2.28542069e+00  1.06364610e-05 -1.29745271e-05  1.06364610e-05
  1.31881290e-02]",[ 0.40957454 -0.83501497 -0.83501497  2.20085268],[ 0.41029087 -0.8351489  -0.8351489   2.20032614],[ 0.41053447 -0.83506983 -0.83506983  2.20113355]
[1.75173537e+64 2.99205959e+63 1.43473121e+64],[-2.20324176e+61  5.62392834e+61],[-7.43350378e+61  3.41021448e+61],[-1.93293621e+62 -6.73233037e+61],"[ 4.59550840e-01 -9.00367932e-01  6.22582920e-07 -9.00367932e-01
  2.33170193e+00 -1.24030128e-05  6.22582920e-07 -1.24030128e-05
  1.31881223e-02]",[ 0.40957405 -0.83501371 -0.83501371  2.20084948],[ 0.41028716 -0.83514704 -0.83514704  2.20032521],[ 0.41052728 -0.83507035 -0.83507035  2.20113083]
[ 2.70137891e+64 -4.03382222e+63  2.20800155e+64],[-3.50104949e+61  8.94692188e+61],[-1.34597901e+62  6.63469472e+61],[-3.57323641e+62 -2.81869687e+61],"[ 4.28790016e-01 -8.63478290e-01 -4.12904239e-06 -8.63478290e-01
  2.36202681e+00  1.21692169e-05 -4.12904239e-06  1.21692169e-05
  1.31881282e-02]",[ 0.40957367 -0.83501275 -0.83501275  2.20084702],[ 0.41028347 -0.83514506 -0.83514506  2.20032415],[ 0.41051947 -0.83506951 -0.83506951  2.20112932]
